"Name","Total Time","Total Time (CPU)","Hits"
"                                                                                          chs.cof.drawplus.DiagramText.getDecoration ()","2,702 ms (-0%)","2,702 ms (-0%)","22"
"                                                                                           chs.utility.preferences.StyleSetUtils.getDecoration ()","2,603 ms (-0%)","2,603 ms (-0%)","23"
"                                                                                            chs.common.styles.PinListDecorationStyle.getAllDecorations ()","1,303 ms (-0%)","1,303 ms (-0%)","12"
"                                                                                             chs.common.styles.AbstractEntityDecorationStyle.getAllDecorations ()","1,303 ms (-0%)","1,303 ms (-0%)","12"
"                                                                                              chs.common.styles.AbstractEntityDecorationStyle.topLevelDecorations ()","899 ms (-0%)","899 ms (-0%)","8"
"                                                                                               Self time","398 ms (-0%)","398 ms (-0%)","8"
"                                                                                               chs.utilities.MapMap.items ()","202 ms (-0%)","202 ms (-0%)","2"
"                                                                                                java.util.ArrayList.addAll ()","202 ms (-0%)","202 ms (-0%)","2"
"                                                                                                Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"                                                                                               java.util.ArrayList.addAll ()","200 ms (-0%)","200 ms (-0%)","2"
"                                                                                               chs.common.UIDUtils.convertToUIDObject ()","99.4 ms (-0%)","99.4 ms (-0%)","1"
"                                                                                              chs.common.styles.AbstractEntityDecorationStyle.getAllDecorationsUsingTraversal ()","403 ms (-0%)","403 ms (-0%)","4"
"                                                                                               chs.common.styles.AbstractDecoration.getChildren ()","202 ms (-0%)","202 ms (-0%)","2"
"                                                                                                java.util.HashSet.iterator ()","101 ms (-0%)","101 ms (-0%)","1"
"                                                                                                chs.common.styles.PositionedDecorationIterator.<init> ()","100 ms (-0%)","100 ms (-0%)","1"
"                                                                                                 chs.common.CHSIterator.<init> ()","100 ms (-0%)","100 ms (-0%)","1"
"                                                                                                 Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"                                                                                               chs.utilities.MapMap.items ()","201 ms (-0%)","201 ms (-0%)","2"
"                                                                                               Self time","0.0 ms (0%)","0.0 ms (0%)","4"
"                                                                                              Self time","0.0 ms (0%)","0.0 ms (0%)","12"
"                                                                                             Self time","0.0 ms (0%)","0.0 ms (0%)","12"
"                                                                                            chs.utility.preferences.StyleSetUtils.getEntityConfigurationFromDecorationUID ()","900 ms (-0%)","900 ms (-0%)","8"
"                                                                                             chs.common.preferencesets.BaseLogicPreferenceSet.getAllEntityConfigurations ()","800 ms (-0%)","800 ms (-0%)","8"
"                                                                                              chs.common.preferencesets.AbstractPreferenceSet.getAllEntityConfigurations ()","800 ms (-0%)","800 ms (-0%)","8"
"                                                                                               chs.utilities.MapMap.items ()","800 ms (-0%)","800 ms (-0%)","8"
"                                                                                                java.util.ArrayList.addAll ()","499 ms (-0%)","499 ms (-0%)","5"
"                                                                                                Self time","300 ms (-0%)","300 ms (-0%)","8"
"                                                                                               Self time","0.0 ms (0%)","0.0 ms (0%)","8"
"                                                                                              Self time","0.0 ms (0%)","0.0 ms (0%)","8"
"                                                                                             Self time","100 ms (-0%)","100 ms (-0%)","8"
"                                                                                            chs.common.preferencesets.LogicPreferenceSet.getEntityConfiguration ()","298 ms (-0%)","298 ms (-0%)","3"
"                                                                                             chs.common.preferencesets.BaseLogicPreferenceSet.getEntityConfiguration ()","298 ms (-0%)","298 ms (-0%)","3"
"                                                                                              chs.common.preferencesets.AbstractPreferenceSet.getEntityConfiguration ()","198 ms (-0%)","198 ms (-0%)","2"
"                                                                                               chs.common.preferencesets.AbstractPreferenceSet.getEntityConfigurationForSymbolledPinList ()","198 ms (-0%)","198 ms (-0%)","2"
"                                                                                                chs.common.preferencesets.AbstractPreferenceSet.isSymbolPinList ()","198 ms (-0%)","198 ms (-0%)","2"
"                                                                                                 chs.cof.logical.schem.PinList.getConnectivity ()","198 ms (-0%)","198 ms (-0%)","2"
"                                                                                                  chs.system.BaseUIDMgr.getObject ()","198 ms (-0%)","198 ms (-0%)","2"
"                                                                                                  Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"                                                                                                 Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"                                                                                                Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"                                                                                               Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"                                                                                              Self time","100 ms (-0%)","100 ms (-0%)","3"
"                                                                                             Self time","0.0 ms (0%)","0.0 ms (0%)","3"
"                                                                                            chs.utilities.CollectionUtils.createSet ()","100 ms (-0%)","100 ms (-0%)","1"
"                                                                                             chs.utilities.CollectionUtils.createSetFromStream ()","100 ms (-0%)","100 ms (-0%)","1"
"                                                                                              chs.utilities.CollectionUtils.createSetFromStream ()","100 ms (-0%)","100 ms (-0%)","1"
"                                                                                               java.util.stream.ReferencePipeline.collect ()","100 ms (-0%)","100 ms (-0%)","1"
"                                                                                                java.util.stream.AbstractPipeline.evaluate ()","100 ms (-0%)","100 ms (-0%)","1"
"                                                                                                 java.util.stream.ReduceOps$ReduceOp.evaluateSequential ()","100 ms (-0%)","100 ms (-0%)","1"
"                                                                                                  java.util.stream.AbstractPipeline.wrapAndCopyInto ()","100 ms (-0%)","100 ms (-0%)","1"
"                                                                                                   java.util.stream.AbstractPipeline.copyInto ()","100 ms (-0%)","100 ms (-0%)","1"
"                                                                                                    java.util.Spliterators$IteratorSpliterator.forEachRemaining ()","100 ms (-0%)","100 ms (-0%)","1"
"                                                                                                     java.util.Iterator.forEachRemaining ()","100 ms (-0%)","100 ms (-0%)","1"
"                                                                                                      java.util.stream.ReduceOps$3ReducingSink.accept ()","100 ms (-0%)","100 ms (-0%)","1"
"                                                                                                       java.util.stream.Collectors$$Lambda$218.0x0000000800330440.accept ()","100 ms (-0%)","100 ms (-0%)","1"
"                                                                                                        chs.utilities.HybridSet.add ()","100 ms (-0%)","100 ms (-0%)","1"
"                                                                                                        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                      Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                 Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                               Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                              Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                             Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                            Self time","0.0 ms (0%)","0.0 ms (0%)","23"
"                                                                                           chs.utility.preferences.DecorativeDeleter.getStyleSet ()","99.3 ms (-0%)","99.3 ms (-0%)","1"
"                                                                                            chs.utility.preferences.DecorativeDeleter.getStyleableObject ()","99.3 ms (-0%)","99.3 ms (-0%)","1"
"                                                                                             chs.cof.drawplus.DiagramObject.getContainer ()","99.3 ms (-0%)","99.3 ms (-0%)","1"
"                                                                                              chs.system.BaseUIDMgr.getObject ()","99.3 ms (-0%)","99.3 ms (-0%)","1"
"                                                                                              Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                             Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                            Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                           Self time","0.0 ms (0%)","0.0 ms (0%)","22"
"                                                                                          Self time","0.0 ms (0%)","0.0 ms (0%)","22"
"                                                                                         Self time","0.0 ms (0%)","0.0 ms (0%)","22"
"                                                                                        Self time","498 ms (-0%)","498 ms (-0%)","25"
"                                                                                       Self time","0.0 ms (0%)","0.0 ms (0%)","25"
"                                                                                      Self time","0.0 ms (0%)","0.0 ms (0%)","25"
"                                                                                     Self time","0.0 ms (0%)","0.0 ms (0%)","25"
"                                                                                    Self time","0.0 ms (0%)","0.0 ms (0%)","25"
"                                                                                   chs.common.styles.AttributeDecoration.getMatchingDecorative ()","200 ms (-0%)","200 ms (-0%)","2"
"                                                                                    chs.common.styles.AbstractDecoration.getMatchingDecorative ()","200 ms (-0%)","200 ms (-0%)","2"
"                                                                                     chs.common.styles.AbstractDecoration.getMatchingDecorative ()","200 ms (-0%)","200 ms (-0%)","2"
"                                                                                      chs.cof.drawplus.CrossReferenceableSchemObject.getObject ()","200 ms (-0%)","200 ms (-0%)","2"
"                                                                                       chs.cof.logical.schem.CompoundSchemObject.getObject ()","200 ms (-0%)","200 ms (-0%)","2"
"                                                                                        chs.cof.draw.CompoundObject.getObject ()","200 ms (-0%)","200 ms (-0%)","2"
"                                                                                         chs.common.styles.AbstractDecoration$3.accept ()","200 ms (-0%)","200 ms (-0%)","2"
"                                                                                          chs.common.styles.AbstractDecoration$3.accept ()","200 ms (-0%)","200 ms (-0%)","2"
"                                                                                           chs.cof.drawplus.DiagramText.getDecoration ()","200 ms (-0%)","200 ms (-0%)","2"
"                                                                                            chs.utility.preferences.StyleSetUtils.getDecoration ()","200 ms (-0%)","200 ms (-0%)","2"
"                                                                                             chs.utility.preferences.StyleSetUtils.getEntityConfigurationFromDecorationUID ()","100 ms (-0%)","100 ms (-0%)","1"
"                                                                                             chs.common.styles.PinListDecorationStyle.getAllDecorations ()","99.8 ms (-0%)","99.8 ms (-0%)","1"
"                                                                                              chs.common.styles.AbstractEntityDecorationStyle.getAllDecorations ()","99.8 ms (-0%)","99.8 ms (-0%)","1"
"                                                                                               chs.common.styles.AbstractEntityDecorationStyle.topLevelDecorations ()","99.8 ms (-0%)","99.8 ms (-0%)","1"
"                                                                                                chs.common.UIDUtils.convertToUIDObject ()","99.8 ms (-0%)","99.8 ms (-0%)","1"
"                                                                                                Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                               Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                              Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                             Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"                                                                                            Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"                                                                                           Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"                                                                                          Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"                                                                                         Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"                                                                                        Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"                                                                                       Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"                                                                                      Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"                                                                                     Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"                                                                                    Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"                                                                                   Self time","0.0 ms (0%)","0.0 ms (0%)","26"
"                                                                                  chs.common.styles.AbstractDecoration.refreshSchematics ()","3,225 ms (-0%)","3,225 ms (-0%)","25"
"                                                                                   chs.common.styles.AbstractDecoration.refreshSchematics ()","3,225 ms (-0%)","3,225 ms (-0%)","25"
"                                                                                    chs.common.styles.AbstractDecoration.positionChildrenOnRefresh ()","1,484 ms (-0%)","1,484 ms (-0%)","14"
"                                                                                     chs.common.styles.AbstractDecoration.refreshSchematicRepresentationIfAffected ()","1,400 ms (-0%)","1,400 ms (-0%)","13"
"                                                                                      chs.common.styles.AbstractDecoration.refreshSchemRepIfAffected ()","1,400 ms (-0%)","1,400 ms (-0%)","13"
"                                                                                       chs.common.styles.AbstractDecoration.refreshSchemRepIfAffected ()","1,400 ms (-0%)","1,400 ms (-0%)","13"
"                                                                                        chs.common.styles.AbstractDecoration.getMatchingDecorative ()","1,002 ms (-0%)","1,002 ms (-0%)","9"
"                                                                                         chs.common.styles.AbstractDecoration.getMatchingDecorative ()","1,002 ms (-0%)","1,002 ms (-0%)","9"
"                                                                                          chs.common.styles.AbstractDecoration.getMatchingDecorative ()","1,002 ms (-0%)","1,002 ms (-0%)","9"
"                                                                                           chs.cof.drawplus.CrossReferenceableSchemObject.getObject ()","1,002 ms (-0%)","1,002 ms (-0%)","9"
"                                                                                            chs.cof.logical.schem.CompoundSchemObject.getObject ()","1,002 ms (-0%)","1,002 ms (-0%)","9"
"                                                                                             chs.cof.draw.CompoundObject.getObject ()","1,002 ms (-0%)","1,002 ms (-0%)","9"
"                                                                                              Self time","502 ms (-0%)","502 ms (-0%)","9"
"                                                                                              chs.common.styles.AbstractDecoration$3.accept ()","400 ms (-0%)","400 ms (-0%)","4"
"                                                                                               chs.common.styles.AbstractDecoration$3.accept ()","400 ms (-0%)","400 ms (-0%)","4"
"                                                                                                chs.cof.drawplus.DiagramText.getDecoration ()","400 ms (-0%)","400 ms (-0%)","4"
"                                                                                                 chs.utility.preferences.StyleSetUtils.getDecoration ()","400 ms (-0%)","400 ms (-0%)","4"
"                                                                                                  chs.utility.preferences.StyleSetUtils.getEntityConfigurationFromDecorationUID ()","200 ms (-0%)","200 ms (-0%)","2"
"                                                                                                   chs.common.preferencesets.BaseLogicPreferenceSet.getAllEntityConfigurations ()","100 ms (-0%)","100 ms (-0%)","1"
"                                                                                                    chs.common.preferencesets.AbstractPreferenceSet.getAllEntityConfigurations ()","100 ms (-0%)","100 ms (-0%)","1"
"                                                                                                     chs.utilities.MapMap.items ()","100 ms (-0%)","100 ms (-0%)","1"
"                                                                                                      java.util.ArrayList.addAll ()","100 ms (-0%)","100 ms (-0%)","1"
"                                                                                                      Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                   Self time","100 ms (-0%)","100 ms (-0%)","2"
"                                                                                                  chs.common.preferencesets.LogicPreferenceSet.getEntityConfiguration ()","100 ms (-0%)","100 ms (-0%)","1"
"                                                                                                   chs.common.preferencesets.BaseLogicPreferenceSet.getEntityConfiguration ()","100 ms (-0%)","100 ms (-0%)","1"
"                                                                                                    chs.common.preferencesets.AbstractPreferenceSet.getEntityConfiguration ()","100 ms (-0%)","100 ms (-0%)","1"
"                                                                                                     chs.cof.logical.schem.PinList.getRawConnectivity ()","100 ms (-0%)","100 ms (-0%)","1"
"                                                                                                      chs.cof.logical.schem.PinList.getConnectivity ()","100 ms (-0%)","100 ms (-0%)","1"
"                                                                                                       chs.system.BaseUIDMgr.getObject ()","100 ms (-0%)","100 ms (-0%)","1"
"                                                                                                       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                      Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                  chs.utilities.CollectionUtils.createSet ()","99.7 ms (-0%)","99.7 ms (-0%)","1"
"                                                                                                   chs.utilities.CollectionUtils.createSetFromStream ()","99.7 ms (-0%)","99.7 ms (-0%)","1"
"                                                                                                    chs.utilities.CollectionUtils.createSetFromStream ()","99.7 ms (-0%)","99.7 ms (-0%)","1"
"                                                                                                     java.util.stream.ReferencePipeline.collect ()","99.7 ms (-0%)","99.7 ms (-0%)","1"
"                                                                                                     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                  Self time","0.0 ms (0%)","0.0 ms (0%)","4"
"                                                                                                 Self time","0.0 ms (0%)","0.0 ms (0%)","4"
"                                                                                                Self time","0.0 ms (0%)","0.0 ms (0%)","4"
"                                                                                               Self time","0.0 ms (0%)","0.0 ms (0%)","4"
"                                                                                              chs.cof.drawplus.UidGfxObjectIterator.next ()","99.5 ms (-0%)","99.5 ms (-0%)","1"
"                                                                                               chs.cof.drawplus.UidGfxObjectIterator.next ()","99.5 ms (-0%)","99.5 ms (-0%)","1"
"                                                                                                chs.cof.drawplus.UIDGfxObjectConvertor.getAsGfxObject ()","99.5 ms (-0%)","99.5 ms (-0%)","1"
"                                                                                                 chs.system.BaseUIDMgr.getObject ()","99.5 ms (-0%)","99.5 ms (-0%)","1"
"                                                                                                 Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                               Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                             Self time","0.0 ms (0%)","0.0 ms (0%)","9"
"                                                                                            Self time","0.0 ms (0%)","0.0 ms (0%)","9"
"                                                                                           Self time","0.0 ms (0%)","0.0 ms (0%)","9"
"                                                                                          Self time","0.0 ms (0%)","0.0 ms (0%)","9"
"                                                                                         Self time","0.0 ms (0%)","0.0 ms (0%)","9"
"                                                                                        chs.common.styles.AbstractDecoration.refreshSchematics ()","398 ms (-0%)","398 ms (-0%)","4"
"                                                                                         chs.common.styles.AbstractDecoration.refreshSchematics ()","398 ms (-0%)","398 ms (-0%)","4"
"                                                                                          chs.common.styles.AbstractDecoration.getMatchingUnderLines ()","200 ms (-0%)","200 ms (-0%)","2"
"                                                                                           chs.common.styles.AbstractDecoration.getMatchingLeaderLines ()","200 ms (-0%)","200 ms (-0%)","2"
"                                                                                            chs.cof.drawplus.CrossReferenceableSchemObject.getObjects ()","200 ms (-0%)","200 ms (-0%)","2"
"                                                                                             chs.cof.logical.schem.CompoundSchemObject.getObjects ()","200 ms (-0%)","200 ms (-0%)","2"
"                                                                                              chs.cof.draw.CompoundObject.getObjects ()","200 ms (-0%)","200 ms (-0%)","2"
"                                                                                               chs.cof.drawplus.UIDCompoundObject.getAllStoredGfxObjects ()","200 ms (-0%)","200 ms (-0%)","2"
"                                                                                                chs.cof.drawplus.UIDCompoundObject.constructGFXObjectList ()","200 ms (-0%)","200 ms (-0%)","2"
"                                                                                                 java.lang.Iterable.forEach ()","200 ms (-0%)","200 ms (-0%)","2"
"                                                                                                  chs.cof.drawplus.UIDCompoundObject$$Lambda$1423.0x0000000801b14040.accept ()","200 ms (-0%)","200 ms (-0%)","2"
"                                                                                                   chs.cof.drawplus.UIDCompoundObject.lambda$constructGFXObjectList$2 ()","200 ms (-0%)","200 ms (-0%)","2"
"                                                                                                    chs.cof.drawplus.UIDCompoundObject.addObj ()","200 ms (-0%)","200 ms (-0%)","2"
"                                                                                                    Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"                                                                                                   Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"                                                                                                  Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"                                                                                                 Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"                                                                                                Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"                                                                                               Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"                                                                                              Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"                                                                                             Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"                                                                                            Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"                                                                                           Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"                                                                                          chs.common.styles.AbstractDecoration.getMatchingLeaderLines ()","197 ms (-0%)","197 ms (-0%)","2"
"                                                                                           chs.common.styles.AbstractDecoration.getMatchingLeaderLines ()","197 ms (-0%)","197 ms (-0%)","2"
"                                                                                            chs.cof.drawplus.CrossReferenceableSchemObject.getObjects ()","197 ms (-0%)","197 ms (-0%)","2"
"                                                                                             chs.cof.logical.schem.CompoundSchemObject.getObjects ()","197 ms (-0%)","197 ms (-0%)","2"
"                                                                                              chs.cof.draw.CompoundObject.getObjects ()","197 ms (-0%)","197 ms (-0%)","2"
"                                                                                               chs.cof.drawplus.UIDCompoundObject.getAllStoredGfxObjects ()","197 ms (-0%)","197 ms (-0%)","2"
"                                                                                                chs.cof.drawplus.UIDCompoundObject.constructGFXObjectList ()","197 ms (-0%)","197 ms (-0%)","2"
"                                                                                                 java.lang.Iterable.forEach ()","197 ms (-0%)","197 ms (-0%)","2"
"                                                                                                  chs.cof.drawplus.UIDCompoundObject$$Lambda$1423.0x0000000801b14040.accept ()","197 ms (-0%)","197 ms (-0%)","2"
"                                                                                                   chs.cof.drawplus.UIDCompoundObject.lambda$constructGFXObjectList$2 ()","197 ms (-0%)","197 ms (-0%)","2"
"                                                                                                    chs.cof.drawplus.UIDCompoundObject.addObj ()","197 ms (-0%)","197 ms (-0%)","2"
"                                                                                                    Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"                                                                                                   Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"                                                                                                  Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"                                                                                                 Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"                                                                                                Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"                                                                                               Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"                                                                                              Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"                                                                                             Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"                                                                                            Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"                                                                                           Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"                                                                                          Self time","0.0 ms (0%)","0.0 ms (0%)","4"
"                                                                                         Self time","0.0 ms (0%)","0.0 ms (0%)","4"
"                                                                                        Self time","0.0 ms (0%)","0.0 ms (0%)","13"
"                                                                                       Self time","0.0 ms (0%)","0.0 ms (0%)","13"
"                                                                                      Self time","0.0 ms (0%)","0.0 ms (0%)","13"
"                                                                                     chs.common.styles.AbstractDecoration.getChildren ()","83.9 ms (-0%)","83.9 ms (-0%)","1"
"                                                                                      chs.utilities.CollectionUtils.createList ()","83.9 ms (-0%)","83.9 ms (-0%)","1"
"                                                                                       chs.utilities.CollectionUtils.createListFromStream ()","83.9 ms (-0%)","83.9 ms (-0%)","1"
"                                                                                        chs.utilities.CollectionUtils.createListFromStream ()","83.9 ms (-0%)","83.9 ms (-0%)","1"
"                                                                                         java.util.stream.ReferencePipeline.collect ()","83.9 ms (-0%)","83.9 ms (-0%)","1"
"                                                                                         Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                      Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                     Self time","0.0 ms (0%)","0.0 ms (0%)","14"
"                                                                                    chs.common.styles.AbstractDecoration.getMatchingUnderLines ()","900 ms (-0%)","900 ms (-0%)","8"
"                                                                                     chs.common.styles.AbstractDecoration.getMatchingLeaderLines ()","900 ms (-0%)","900 ms (-0%)","8"
"                                                                                      chs.cof.drawplus.CrossReferenceableSchemObject.getObjects ()","900 ms (-0%)","900 ms (-0%)","8"
"                                                                                       chs.cof.logical.schem.CompoundSchemObject.getObjects ()","900 ms (-0%)","900 ms (-0%)","8"
"                                                                                        chs.cof.draw.CompoundObject.getObjects ()","900 ms (-0%)","900 ms (-0%)","8"
"                                                                                         chs.cof.drawplus.UIDCompoundObject.getAllStoredGfxObjects ()","900 ms (-0%)","900 ms (-0%)","8"
"                                                                                          chs.cof.drawplus.UIDCompoundObject.constructGFXObjectList ()","900 ms (-0%)","900 ms (-0%)","8"
"                                                                                           java.lang.Iterable.forEach ()","900 ms (-0%)","900 ms (-0%)","8"
"                                                                                            chs.cof.drawplus.UIDCompoundObject$$Lambda$1423.0x0000000801b14040.accept ()","800 ms (-0%)","800 ms (-0%)","8"
"                                                                                             chs.cof.drawplus.UIDCompoundObject.lambda$constructGFXObjectList$2 ()","800 ms (-0%)","800 ms (-0%)","8"
"                                                                                              chs.cof.drawplus.UIDCompoundObject.addObj ()","800 ms (-0%)","800 ms (-0%)","8"
"                                                                                              Self time","0.0 ms (0%)","0.0 ms (0%)","8"
"                                                                                             Self time","0.0 ms (0%)","0.0 ms (0%)","8"
"                                                                                            Self time","99.9 ms (-0%)","99.9 ms (-0%)","8"
"                                                                                           Self time","0.0 ms (0%)","0.0 ms (0%)","8"
"                                                                                          Self time","0.0 ms (0%)","0.0 ms (0%)","8"
"                                                                                         Self time","0.0 ms (0%)","0.0 ms (0%)","8"
"                                                                                        Self time","0.0 ms (0%)","0.0 ms (0%)","8"
"                                                                                       Self time","0.0 ms (0%)","0.0 ms (0%)","8"
"                                                                                      Self time","0.0 ms (0%)","0.0 ms (0%)","8"
"                                                                                     Self time","0.0 ms (0%)","0.0 ms (0%)","8"
"                                                                                    chs.common.styles.AbstractDecoration.getMatchingLeaderLines ()","638 ms (-0%)","638 ms (-0%)","6"
"                                                                                     chs.common.styles.AbstractDecoration.getMatchingLeaderLines ()","638 ms (-0%)","638 ms (-0%)","6"
"                                                                                      chs.cof.drawplus.CrossReferenceableSchemObject.getObjects ()","638 ms (-0%)","638 ms (-0%)","6"
"                                                                                       chs.cof.logical.schem.CompoundSchemObject.getObjects ()","638 ms (-0%)","638 ms (-0%)","6"
"                                                                                        chs.cof.draw.CompoundObject.getObjects ()","638 ms (-0%)","638 ms (-0%)","6"
"                                                                                         chs.cof.drawplus.UIDCompoundObject.getAllStoredGfxObjects ()","638 ms (-0%)","638 ms (-0%)","6"
"                                                                                          chs.cof.drawplus.UIDCompoundObject.constructGFXObjectList ()","638 ms (-0%)","638 ms (-0%)","6"
"                                                                                           java.lang.Iterable.forEach ()","638 ms (-0%)","638 ms (-0%)","6"
"                                                                                            chs.cof.drawplus.UIDCompoundObject$$Lambda$1423.0x0000000801b14040.accept ()","638 ms (-0%)","638 ms (-0%)","6"
"                                                                                             chs.cof.drawplus.UIDCompoundObject.lambda$constructGFXObjectList$2 ()","638 ms (-0%)","638 ms (-0%)","6"
"                                                                                              chs.cof.drawplus.UIDCompoundObject.addObj ()","638 ms (-0%)","638 ms (-0%)","6"
"                                                                                              Self time","0.0 ms (0%)","0.0 ms (0%)","6"
"                                                                                             Self time","0.0 ms (0%)","0.0 ms (0%)","6"
"                                                                                            Self time","0.0 ms (0%)","0.0 ms (0%)","6"
"                                                                                           Self time","0.0 ms (0%)","0.0 ms (0%)","6"
"                                                                                          Self time","0.0 ms (0%)","0.0 ms (0%)","6"
"                                                                                         Self time","0.0 ms (0%)","0.0 ms (0%)","6"
"                                                                                        Self time","0.0 ms (0%)","0.0 ms (0%)","6"
"                                                                                       Self time","0.0 ms (0%)","0.0 ms (0%)","6"
"                                                                                      Self time","0.0 ms (0%)","0.0 ms (0%)","6"
"                                                                                     Self time","0.0 ms (0%)","0.0 ms (0%)","6"
